file,count
knowledge\characters\char_aura_engineer.md,28
knowledge\characters\char_dawn_chris_grant.md,5
knowledge\characters\char_dog_alpha.md,32
knowledge\characters\char_dog_beta.md,21
knowledge\characters\char_jace_apollo.md,28
knowledge\characters\char_jace_best_friend.md,18
knowledge\characters\char_mei.md,11
knowledge\characters\char_sister_artemis.md,8
knowledge\characters\char_smuggler_mars.md,1
knowledge\factions\faction_belter_stations.md,27
knowledge\factions\faction_united_states_mars.md,14
knowledge\locations\location_asteroid_belt_overview.md,19
knowledge\locations\location_fortuna_station.md,12
knowledge\locations\location_mars_overview.md,10
knowledge\locations\location_odysseus_station.md,13
knowledge\locations\location_psyche_station.md,7
knowledge\magic-systems\magic_cultural_schools.md,53
knowledge\magic-systems\magic_returning_arts.md,23
knowledge\MASTER-SYNOPSIS.md,36
knowledge\README.md,4
knowledge\scenes\book01-transit-vignettes.md,25
knowledge\ships\ship_falcon.md,12
knowledge\ships\ship_livestock_ferry_class.md,18
knowledge\ships\ship_nina.md,13
knowledge\technology\tech_aura_ai.md,23
knowledge\technology\tech_cybernetics.md,11
knowledge\technology\tech_dogs_space_adapted.md,14
knowledge\technology\tech_nuclear_ferries.md,18
knowledge\templates\concept-template.md,4
knowledge\templates\faction-template.md,5
knowledge\templates\location-template.md,2
knowledge\timeline\timeline_master.md,20
knowledge\universe-spec\concept_resource_scarcity.md,23
knowledge\universe-spec\cosmology.md,26
knowledge\characters\char_mr_sylvester.md,2
knowledge\factions\faction_mars_other_settlements.md,9
knowledge\factions\faction_megacorps.md,20
knowledge\locations\location_juno_station.md,2
knowledge\locations\location_sylvia_station.md,5
knowledge\scenes\book01-opening-notes.md,27
knowledge\ships\ship_pinta.md,9
knowledge\ships\ship_santa_maria.md,7
knowledge\technology\tech_cyclers.md,15
knowledge\templates\magic-system-template.md,7
knowledge\templates\technology-template.md,3
knowledge\universe-spec\physics-and-magic-interaction.md,22
